champion,category,errorMessage
failed scrapping inGameData,Cho'Gath,Evaluation failed: TypeError: Cannot read properties of undefined (reading 'innerText')N    at pptr://__puppeteer_evaluation_script__:12:39
failed scrapping inGameData,Corki,ENOENT: no such file or directory. open './lol_scraper/data/champion_baseData/Corki_data.json'
failed scrapping inGameData,Darius,ENOENT: no such file or directory. open './lol_scraper/data/champion_baseData/Darius_data.json'
failed scrapping inGameData,Dr.Mundo,Evaluation failed: TypeError: Cannot read properties of undefined (reading 'innerText')N    at pptr://__puppeteer_evaluation_script__:12:39
failed scrapping inGameData,Draven,ENOENT: no such file or directory. open './lol_scraper/data/champion_baseData/Draven_data.json'
failed scrapping inGameData,Kai'Sa,Evaluation failed: TypeError: Cannot read properties of undefined (reading 'innerText')N    at pptr://__puppeteer_evaluation_script__:12:39
failed scrapping inGameData,Kha'Zix,Evaluation failed: TypeError: Cannot read properties of undefined (reading 'innerText')N    at pptr://__puppeteer_evaluation_script__:12:39
failed scrapping inGameData,Kog'Maw,Evaluation failed: TypeError: Cannot read properties of undefined (reading 'innerText')N    at pptr://__puppeteer_evaluation_script__:12:39
failed scrapping inGameData,MegaGnar,Evaluation failed: TypeError: Cannot read properties of undefined (reading 'innerText')N    at pptr://__puppeteer_evaluation_script__:12:39
failed scrapping inGameData,Olaf,Evaluation failed: TypeError: Cannot read properties of undefined (reading 'querySelector')N    at pptr://__puppeteer_evaluation_script__:54:46
failed scrapping inGameData,Rek'Sai,Evaluation failed: TypeError: Cannot read properties of undefined (reading 'innerText')N    at pptr://__puppeteer_evaluation_script__:12:39
failed scrapping inGameData,RenataGlasc,Evaluation failed: TypeError: Cannot read properties of undefined (reading 'innerText')N    at pptr://__puppeteer_evaluation_script__:12:39
failed scrapping inGameData,Vel'Koz,Evaluation failed: TypeError: Cannot read properties of undefined (reading 'innerText')N    at pptr://__puppeteer_evaluation_script__:12:39
failed scrapping inGameData,Wukong,Evaluation failed: TypeError: Cannot read properties of undefined (reading 'innerText')N    at pptr://__puppeteer_evaluation_script__:12:39
scraping abilities failed,Aatrox,tools.mergeData is not a function
scraping abilities failed,Ahri,tools.mergeData is not a function
scraping abilities failed,Akali,tools.mergeData is not a function
scraping abilities failed,Akshan,tools.mergeData is not a function
